property_name,link,society,price,areaWithType,address,floorNumAllowed,noOfOpenSides,possession,nearbyLocations,description,features,rating,property_id
Residential land / Plot in Vikas Nagar,https://www.99acres.com/residential-land-plot-for-sale-in-vikas-nagar-west-delhi-200-sq-yard-spid-V69095010,,1.2 Crore,,"Vikas Nagar, West Delhi, Delhi",4 Floors,1,Immediate,"['RadheShyam Mandir', 'Sai Mandir', 'Axix bank ATM', 'Icici ATM', 'Kotak mahindra bank ATM', 'Punjab national bank ATM', 'Nawada ATM', 'State bank of india ATM', 'DGD Tilangpur Kotla', 'SRG Hospital', 'MCD Baprolla', 'Rathi Hospital', 'Satya Multi Speciality Hospital', 'Kaushik Dental Hospital', 'Sanjivani Gynec & Children Hospital', 'PGH Hospitals', 'Goel Health Center', 'R.R.Hospital', 'Sanjeevani Maternity & Children Hospital', 'Surya Laxmi Hospital', 'Kanojia Hospital', 'Karuna Sindhu Charitable Hospital', 'Dwarka New Born and Child Hospital', 'Tarak Hospital India Private Limited', 'Asha Hospital', 'Aashirwad Nursing Home', 'MODERN HOMEO HALL', 'Saraswati Hospital and Laproscopic Centre', 'Hardik Hospital', 'Mata Chandana Devi Hospital', 'R. Nayyar Hospital', 'Dwarka Hospital', 'Mahola Clinic', 'Bala Ji Hospital', 'SPUHC Ranaji Enclave', 'Shubh Nursing Home', 'Rohan Hospital', 'Nirmala Hospital', 'Jeevan Jyoti Hospital', 'SPUHC', 'Mahindru Hospital', 'Mata Roop Rani Maggo Hospital', 'Sunand Hospital & IVF Centre', 'DGD', 'Chhath Ghat']","Planning to purchase a plot in west delhi? This plot in vikas nagar is situated in one of the excellent locations of the city. The plot is around super built up area of 200 sq.Yards in size. Construction on this property can be easily done upto 4 floors. Immediately, possession of property can be transferred. The owner of the property has freehold entitlement over the land. The asking price is only 1.20 lac. Negotiable",['Feng Shui / Vaastu Compliant'],"['', 'Environment3.4 out of 5']",V69095010
Residential land / Plot in Chattarpur,https://www.99acres.com/residential-land-plot-for-sale-in-chattarpur-south-delhi-1500-sq-yard-spid-Z71411640,,11.25 Crore,,"Chattarpur, South Delhi, Delhi",,2,,"['Chhatarpur metro station', 'Qutub minar metro station', 'Sultanpur metro station', 'Chhattarpur Mandir Complex', 'Temple', 'Masjid Dibya Wali', 'Prachin Shri Hanuman Shani Mandir', 'Navgrah temple', 'Shri Shiv Shakti Mandir', 'Ram mandir', 'Sanatan Dharm Radheshyam Mandir', 'The Pentecostal Mission Church', 'Hdfc bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Apex Hospital', 'K.R. Hospital', 'DGD', 'Yogmaya Multispeciality Hospital', 'Manchanda Hospital', 'Raja Ram Market', 'Vikas Hospital', 'Gendox Hospital', 'Anmol Multispeciality Polyclinic and Diagnostic Center', 'Aman Medical Centre', 'Physio Quantum', 'JSMK Clinic', 'Aggarwal Sons Medical Mart', 'Aggarwal Medical Store', 'Anand Chemist', 'Neethi Medical Store', 'Shri Banke Bihari Medical Store', 'Akshay Medicos', 'Maa Nav Durga Medicos', 'Oddbird Theatre', 'WHSmith', 'Burger King', 'Chai Thela', 'The Dhan Mill', 'Quick Brown Fox Coffee Roasters', 'Greenr Cafe', 'subway lavazza', 'Ajit Khalsa Dhaba', 'Barista', 'Shri Sai Food Corner', 'Hotspot Pizzeria', 'Cafe Twist', 'Heritage International School', 'Deep Public School', 'Indira Gandhi National Open University']","Prime location 
Square plot square land
Elite neighbourhood
30 feet road
Gated societ
Mini farm land","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.9 out of 5']",Z71411640
Residential land / Plot in Madhu Vihar,https://www.99acres.com/residential-land-plot-for-sale-in-madhu-vihar-dwarka-delhi-250-sq-yard-r1-spid-A66344758,,3.75 Crore,,"Madhu Vihar, Dwarka Delhi, Delhi",,2,Immediate,"['Peer Baba Dham', 'Hanuman Mandir', 'Kali Bari', 'Golok Dham', 'Ram Johdi Mandir', 'Axis bank ATM', 'Punjan national bank ATM', 'Punjab national bank ATM', 'DGD Sec 2 Dwarka', 'Aakash Healthcare Super Speciality Hospital', 'Manipal Hospitals', 'Swastik clinic', 'Ayushman Hospital', 'Khushi Hospital', 'Ayushman Hospital', 'Medeor Hospital', 'Apaar Nursing Home', 'Dwarka Heart Centre', 'Govt Dispensory', 'Shree Shyam Sunder Dental Hospital', 'Dwarika Medicare & Maternity Centre', 'Delhi Government Clinic', 'Bharti Nursingh Home', 'Chander Leela Hospital', 'DGD Sec 12 Dwarka', 'Bm Hospital', 'B.M. Gupta Hospital Pvt. Ltd.', 'Shree Hospital', 'Lifeline Hospital', 'Ramphal chawk sector 7', 'Sumiti Vishal Charitable Hospital', 'Dr. Atul Anand', 'SR Krishna Hospital', 'Public Health Centre', 'Gandhi Hospital', '98.3', 'Apollo Pharmacy', 'Rai Medico', 'Princess Park', 'Icici bank dwarka sec-5', 'Hdfc bank', 'Hdfc bank', 'Subway', 'Fire & Ice', ""Jatin's Cafe"", 'Modern Bazaar', 'Bhaskaracharya College of Applied Sciences', 'Delhi Public School Dwarka']","Developed colony & infrastructure surrounding the plot with all amenities.To build a splendid residence, this plot in madhu vihar, dwarka delhi is the best fit for you. It's a 250 sq.Yards super built up area property. The property is enclosed by boundary wall. Possession of land can be secured immediately. The owner of the property has power of attorney entitlement over the land. The asking price is only  3.75 crore. Negotiable.","['Water Storage', 'Rain Water Harvesting']","['', 'Environment3.5 out of 5']",A66344758
Residential land / Plot in Chattarpur,https://www.99acres.com/residential-land-plot-for-sale-in-chattarpur-south-delhi-250-sq-yard-spid-W70971016,,5 Crore,,"Chattarpur, South Delhi, Delhi",,2,,"['Chhatarpur metro station', 'Qutub minar metro station', 'Sultanpur metro station', 'Chhattarpur Mandir Complex', 'Temple', 'Masjid Dibya Wali', 'Prachin Shri Hanuman Shani Mandir', 'Navgrah temple', 'Shri Shiv Shakti Mandir', 'Ram mandir', 'Sanatan Dharm Radheshyam Mandir', 'The Pentecostal Mission Church', 'Hdfc bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Apex Hospital', 'K.R. Hospital', 'DGD', 'Yogmaya Multispeciality Hospital', 'Manchanda Hospital', 'Raja Ram Market', 'Vikas Hospital', 'Gendox Hospital', 'Anmol Multispeciality Polyclinic and Diagnostic Center', 'Aman Medical Centre', 'Physio Quantum', 'JSMK Clinic', 'Aggarwal Sons Medical Mart', 'Aggarwal Medical Store', 'Anand Chemist', 'Neethi Medical Store', 'Shri Banke Bihari Medical Store', 'Akshay Medicos', 'Maa Nav Durga Medicos', 'Oddbird Theatre', 'WHSmith', 'Burger King', 'Chai Thela', 'The Dhan Mill', 'Quick Brown Fox Coffee Roasters', 'Greenr Cafe', 'subway lavazza', 'Ajit Khalsa Dhaba', 'Barista', 'Shri Sai Food Corner', 'Hotspot Pizzeria', 'Cafe Twist', 'Heritage International School', 'Deep Public School', 'Indira Gandhi National Open University']","Chattarpur main road property
Near to chattarpur metro, qutub minar metro
High returns on land
Double road property 
Prime location of chattarpur","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage']","['', 'Environment3.9 out of 5']",W70971016
"Residential land / Plot in Pocket A2 , Sector 29 Rohini Delhi",https://www.99acres.com/residential-land-plot-for-sale-in-north-delhi-72-sq-yard-spid-W69607912,,1.45 Crore,,"Pocket A2 , Sector 29 Rohini Delhi, North Delhi, Delhi",,2,,[],"North east facing.
 Corner.
 12 m service roads on ne front and south side. 
Facing zonal green and 45 m wide road. 
In very close vicinity to network of wide connecting roads, highways, expressway ,helipad, delhi metro",['Feng Shui / Vaastu Compliant'],,W69607912
Residential land / Plot in Sector 37 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-dda-plots-rohini-sector-37-sector-37-rohini-north-delhi-72-sq-yard-spid-Z71472172,DDA Plots Rohini Sector 37,1.5 Crore,,"A1/92, Sector 37 Rohini, North Delhi, Delhi",,2,,[],"Freehold & corner plot. One side 12 meter wide road & side lane 3 meter wide.
Ideal to form a pair with the adjascent plot",[],"['', 'Environment3.6 out of 5']",Z71472172
Residential land / Plot in Mandi,https://www.99acres.com/residential-land-plot-for-sale-in-mandi-south-delhi-1000-sq-yard-spid-Y70980420,,3.5 Crore,,"Mandi, South Delhi, Delhi",,1,Within 3 months,"['SHIV MANDIR BALIYAWAS', 'HANUMAN MANDIR', 'Janki Max Hospital', 'Parivar Clinic', 'DGD Jonapur', 'Baba Neem Karoli Dispensary', 'Florence Farm', 'Intellion Park', 'Aya Nagar Bus Terminal', 'CHINESE CORNER', 'Regional Skill Development Centre', 'GOVERNMENT SCHOOL']",Main road location 24 hours electricity and 24 hours water gated society,"['Feng Shui / Vaastu Compliant', 'Water Storage']",,Y70980420
Residential land / Plot in Arjun Garh,https://www.99acres.com/residential-land-plot-for-sale-in-arjun-garh-south-delhi-180-sq-yard-spid-Q67637102,,54 Lac,,"Aya Nagar Phase V, Arjun Garh, South Delhi, Delhi",3 Floors,1,Immediate,[],"Residential plot for resale in arjun garh, aya nagar aya nagar phase v, ishwar colony. Property is located in prime location and all the basic facilities like electricity, water supply, pipeline gas, sewer are available. The market are very close to the property. Atm, school are very near by. Very good atmosphere for living. You can move the property and can make a construction.",[],"['', 'Environment3.6 out of 5']",Q67637102
Residential land / Plot in Tagore Garden,https://www.99acres.com/residential-land-plot-for-sale-in-tagore-garden-west-delhi-120-sq-yard-spid-O71820200,,5.25 Crore,,"Tagore Garden, West Delhi, Delhi",,2,Immediate,"['Tagore garden metro station', 'Subhash nagar metro station', 'Rajouri garden blue line metro station', 'Rajouri garden pink line metro station', 'Tilak nagar metro station', 'Esi hospital metro station', 'Arul Migu Muthu Mariamman Temple', 'Uttarakhand Sanatan Dharm Mandir', 'Hdfc bank ATM', 'Punjab bank ATM', 'Delhi Government Dispensary Gulabi Bagh', 'Narang Hospital', 'Guru Ram Dass Charitable Hospital', 'DGD Khyala', 'DGD Choukhandi', 'MKW Hospital', 'Anand Orthopaedic & Maternity Clinic', 'Amit Nursing Home', 'Dispensary', 'Chaitanya Cardio Diabetes Centre', 'Khetarpal Hospital', 'Aam Aadmi Polyclinic Tilak Vihar', 'Sehgal Neo Hospital', 'Ashirwad Speciality Clinic', 'Care New born & Child Hospital', 'Medstar Hospital', 'Sushruta Maternity And Surgical Centre', 'Bagga Nursing Home', 'Polyclinic Ramesh Nagar', 'Jainar Hospital', 'Dashmesh Hospital', 'BPCL PETROL PUMP shankar filling station', 'Canara bank', 'Indian bank', 'Bank of maharashtra', 'Union bank of india', 'State bank of india', 'PVR Cinema', 'Wave Rajouri Garden', 'Vishal', 'Movie Time Cinemas', ""Carl's Jr."", 'Burger Singh', 'Talli Station Rajouri Garden', 'FLY bar', 'Hunger House', 'Cafe Coffee Day']","This plot in tagore garden provides you great opportunity to build a fabulous residence in west delhi. Plot area is 1080 sq.Ft (Old construction). This northeast facing property has wide road. Parking available, no opposite direct facing house. Excellent location with market, huge woodlands, temples, schools, metro etc. In walking distance. Directly allotted from government. The property is owned under freehold contract. The possession of the property can be received immediately. Preferably genuine end users/customers to connect.
Price 5.25 crore.",['Water Storage'],"['', 'Environment3.9 out of 5']",O71820200
Residential land / Plot in Lajpat Nagar 2,https://www.99acres.com/residential-land-plot-for-sale-in-lajpat-nagar-2-south-delhi-100-sq-yard-spid-O71838590,,5.95 Crore,,"Lajpat Nagar 2, South Delhi, Delhi",4 Floors,2,Immediate,"['Lajpat nagar pink line metro station', 'Lajpat nagar violet line metro station', 'Vinobapuri metro station', 'Central Market', 'Lajpat Nagar Central Market', 'Shri Shani Dev Mandir', 'Satsang Guru Nanak Darbar', 'Shri Hari Mandir', 'Shiv Mandir', 'Church of Jesus Christ of Latter-Day Saints Mormon', 'Mata Ka Mandir', 'Prachin Shiv Shakti Gorakhnath Mandir', 'Gamca', 'Institute of Brain and Spine', 'Parivar Sewa Sansthan', 'Metro Hospital and Heart Institute', 'Muskaan Clinic', 'Max Medcentre', 'The Dentist', 'Unique Chemist', 'Apollo Pharmacy', 'Mahesh Chemists', 'Medicine Care', 'Apollo Pharmacy', 'Healthy Life Pharmacy', 'PVR Cinema', 'Axis bank', 'The Burger Club', 'Afghan Darbar Restaurant', 'Kabul Delhi Restaurant', ""Domino's"", 'Dolma Aunty Momos', 'Chicago Pizza', 'McDonalds', 'Subway', 'Pizza Hut', 'Beliram Degchiwala', 'Pind Balluchi', 'The Golden Dragon', 'Dominos', 'Bar', 'Cafe Coffee Day', 'SDMC Primary Coeducational School', 'Fitness Mantra', 'Global Music Institute', 'Lady Irwin Senior Secondary School', 'Government Coeducational Senior Secondary School', 'SDMC Primary Model School', 'Lal bahadur shastri library', 'Delhi public library']","Planning to purchase a plot in south delhi? This plot in lajpat nagar is situated in one of the excellent locations of the city. It spans over spectacular 100 sq.Yards super built up area. Here, a solid foundation can easily withhold construction of 4 floors. To secure the perimeter, a boundary wall is present around the property. The possession of the property can be received immediately. The property is owned under freehold contract. The plot is available at a price of 5.95 crore. The owner is open for negotiation.",[],"['', 'Environment3.9 out of 5']",O71838590
Residential land / Plot in Sector 37 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-37-rohini-north-delhi-72-sq-yard-spid-Q71664900,DDA Plots,1.5 Crore,,"A1/92, Sector 37 Rohini, North Delhi, Delhi",,2,,"['Karala Government Hospital', 'Devansh Hospital', 'Maharaja Agrasen Institute of Technology Rohini', 'Maharaja Agrasen Institute of Technology']","Planning to purchase a plot in north delhi? This plot in sector 37 rohini is situated in one of the excellent locations of the city. This 60 sq.M. Super built up area plot is your opportunity to build a exceptional residence. Here, a solid foundation can easily withhold construction of 4 floors. The possession of the property can be received immediately. The property is owned under freehold contract. The plot is available at a price of  1.5 crore. The owner is open for negotiation. This plot is facing the east direction.",[],"['', 'Environment3.6 out of 5']",Q71664900
Residential land / Plot in Jaitpur,https://www.99acres.com/residential-land-plot-for-sale-in-jaitpur-south-delhi-75-sq-yard-spid-L71770930,,75 Lac,,"Jaitpur, South Delhi, Delhi",5 Floors,2,Immediate,"['Nav Durga Mandir', 'Hdfc bank ATM', 'DGD Molarband', 'L.D. Hospital', 'DGD Tajpur', 'Saras Hospital', 'L&T BUSINESS PARK', 'Badarpur Border', 'Manav Mangal Public School', 'Tughlakabad railway station']","2 side open , east facing , water connection available, market near by.",[],"['', 'Environment3.5 out of 5']",L71770930
Residential land / Plot in Dera Mandi,https://www.99acres.com/residential-land-plot-for-sale-in-dera-mandi-south-delhi-500-sq-yard-r1-spid-M69766720,,2.5 Crore,,"Dera Mandi, South Delhi, Delhi",,2,Immediate,"['SHIV MANDIR BALIYAWAS', 'Janki Max Hospital', 'Parivar Clinic', 'Florence Farm', 'Green Dot Theory', 'CHINESE CORNER', 'Government Sarvodaya Vidyalaya']","Planning to purchase a plot in south delhi? This plot in dera mandi is situated in one of the excellent locations of the city. It's a 4500 sq.Ft. Super built up area property. Construction on this property can be easily done upto 4 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. The property belongs to owner through freehold ownership. This residential plot is all yours for  2.5 crore. Open for negotiation. The residential plot is north-East-Facing.","['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.8 out of 5']",M69766720
Residential land / Plot in Ansal Satbari,https://www.99acres.com/residential-land-plot-for-sale-in-ansal-satbari-south-delhi-1000-sq-yard-spid-F70907186,,6.5 Crore,,"Ansal Satbari, South Delhi, Delhi",,4,,"['Shani Dham Temple', 'Sbi ATM', 'Smile Stone Dental Clinic', 'NDMS Park', 'Manchanda Hospital', 'Yogmaya Multispeciality Hospital', 'Anand Chemist', 'Neethi Medical Store', 'Tea Point', 'Government Sarvodaya Vidyalaya']",Prime land near chattarpur for farms/kothis,"['Maintenance Staff', 'Water Storage']","['', 'Environment3.8 out of 5']",F70907186
Residential land / Plot in Chattarpur,https://www.99acres.com/residential-land-plot-for-sale-in-chattarpur-south-delhi-4400-sq-yard-r1-spid-W62673248,,19 Crore,,"Chattarpur, South Delhi, Delhi",,2,Immediate,"['Chhatarpur metro station', 'Qutub minar metro station', 'Sultanpur metro station', 'Chhattarpur Mandir Complex', 'Temple', 'Masjid Dibya Wali', 'Prachin Shri Hanuman Shani Mandir', 'Navgrah temple', 'Shri Shiv Shakti Mandir', 'Ram mandir', 'Sanatan Dharm Radheshyam Mandir', 'The Pentecostal Mission Church', 'Hdfc bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Apex Hospital', 'K.R. Hospital', 'DGD', 'Yogmaya Multispeciality Hospital', 'Manchanda Hospital', 'Raja Ram Market', 'Vikas Hospital', 'Gendox Hospital', 'Anmol Multispeciality Polyclinic and Diagnostic Center', 'Aman Medical Centre', 'Physio Quantum', 'JSMK Clinic', 'Aggarwal Sons Medical Mart', 'Aggarwal Medical Store', 'Anand Chemist', 'Neethi Medical Store', 'Shri Banke Bihari Medical Store', 'Akshay Medicos', 'Maa Nav Durga Medicos', 'Oddbird Theatre', 'WHSmith', 'Burger King', 'Chai Thela', 'The Dhan Mill', 'Quick Brown Fox Coffee Roasters', 'Greenr Cafe', 'subway lavazza', 'Ajit Khalsa Dhaba', 'Barista', 'Shri Sai Food Corner', 'Hotspot Pizzeria', 'Cafe Twist', 'Heritage International School', 'Deep Public School', 'Indira Gandhi National Open University']","This is a corner plot, 2 side open",[],"['', 'Environment3.9 out of 5']",W62673248
Residential land / Plot in Jonapur,https://www.99acres.com/residential-land-plot-for-sale-in-jonapur-south-delhi-1200-sq-yard-spid-R70855312,Jonapur Hill,4.2 Crore,,"Jonapur, South Delhi, Delhi",,3,Within 3 months,"['gobind sadan', 'Punjab national bank ATM', 'DGD Jonapur', 'Baba Neem Karoli Dispensary', 'Janki Max Hospital', 'Parivar Clinic', 'Aya Nagar Bus Terminal', 'Regional Skill Development Centre', 'Bharat Vasisht Vidya Mandir', 'Government Boys Senior Secondary School']",Plot for sale in jonapur is available in south delhi. This locality resonates with your modern lifestyle. It spreads over 1200 sq.Yards super built up area. Up to 4 floors can be easily built on this land. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 4.2 crore. The owner is open for negotiation.,"['Feng Shui / Vaastu Compliant', 'Maintenance Staff']","['', 'Environment3.3 out of 5']",R70855312
Residential land / Plot in Chattarpur,https://www.99acres.com/residential-land-plot-for-sale-in-chattarpur-south-delhi-1200-sq-yard-r3-spid-K66790784,,9 Crore,,"Chattarpur, South Delhi, Delhi",,2,Immediate,"['Chhatarpur metro station', 'Qutub minar metro station', 'Sultanpur metro station', 'Chhattarpur Mandir Complex', 'Temple', 'Masjid Dibya Wali', 'Prachin Shri Hanuman Shani Mandir', 'Navgrah temple', 'Shri Shiv Shakti Mandir', 'Ram mandir', 'Sanatan Dharm Radheshyam Mandir', 'The Pentecostal Mission Church', 'Hdfc bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Apex Hospital', 'K.R. Hospital', 'DGD', 'Yogmaya Multispeciality Hospital', 'Manchanda Hospital', 'Raja Ram Market', 'Vikas Hospital', 'Gendox Hospital', 'Anmol Multispeciality Polyclinic and Diagnostic Center', 'Aman Medical Centre', 'Physio Quantum', 'JSMK Clinic', 'Aggarwal Sons Medical Mart', 'Aggarwal Medical Store', 'Anand Chemist', 'Neethi Medical Store', 'Shri Banke Bihari Medical Store', 'Akshay Medicos', 'Maa Nav Durga Medicos', 'Oddbird Theatre', 'WHSmith', 'Burger King', 'Chai Thela', 'The Dhan Mill', 'Quick Brown Fox Coffee Roasters', 'Greenr Cafe', 'subway lavazza', 'Ajit Khalsa Dhaba', 'Barista', 'Shri Sai Food Corner', 'Hotspot Pizzeria', 'Cafe Twist', 'Heritage International School', 'Deep Public School', 'Indira Gandhi National Open University']","Planning to build residence in south delhi? This plot in chattarpur is the best deal for you. This 10800 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. This property allows you to construct upto 2 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The property belongs to owner through freehold ownership. This residential plot is all yours for  9 crore. Open for negotiation. It's a north-East-Facing plot. This land is close to metro station, close to school, close to market and close to hospital.","['Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.9 out of 5']",K66790784
Residential land / Plot in Aya Nagar Extension,https://www.99acres.com/residential-land-plot-for-sale-in-aya-nagar-extension-south-delhi-200-sq-yard-r1-spid-M69516640,,75 Lac,,"Aya Nagar Extension, South Delhi, Delhi",,2,Immediate,"['gobind sadan', 'Punjab national bank ATM', 'Indusind bank ATM', 'Icici bank ATM', 'DGD Jonapur', 'Parivar Clinic', 'Janki Max Hospital', 'Baba Neem Karoli Dispensary', 'The Dental Lounge', 'Apollo Pharmacy', 'Aya Nagar Bus Terminal', 'Clock tower', 'Regional Skill Development Centre', 'Bharat Vasisht Vidya Mandir']",200 sq. Yards residential land and plot available for sale at prime location in aya nagar near arjan garh metro station,[],"['', 'Environment3.5 out of 5']",M69516640
Residential land / Plot in Najafgarh Road,https://www.99acres.com/residential-land-plot-for-sale-in-najafgarh-road-west-delhi-50-sq-yard-spid-D70662454,,40 Lac,,"Plot No- 35, Najafgarh Road, West Delhi, Delhi",,2,,"['Janakpuri west metro station', 'Janakpuri west metro station', 'Janakpuri east metro station', 'Uttam nagar east metro station', 'Tilak nagar metro station', 'Dabri mor metro station', 'Shiv Shakti Mandir', 'Mar Gregorios Orthodox Church', 'Kirpa Dham', 'Shani Mandir', 'Punjab bank ATM', 'Hdfc bank ATM', ""Dr S K Jain's Clinic"", ""Dr Jain's Clinic"", 'UK Nursing Home', 'DGD Vikaspuri', 'Sai Nursing Home', 'Krypton Global Health', 'Genesis Hospital', 'Jainak Medical and Orthopaedic Center', 'Sanjivni Rheumayology Clinic', 'Dr. Lalit Duggal', 'Mata Chanan Devi Hospital', 'Arya Hospital', 'DGD Jeevan Park', 'Aam Aadmi Polyclinic Tilak Vihar', 'Public Health Centre', 'Dashmesh Hospital', 'DGD Ram Dutt Enclave', 'Shree Shyam Sunder Dental Hospital', 'Orchid Hospital Maternity and Heart Centre', 'Bm Hospital', 'Apaar Nursing Home', 'Chander Leela Hospital', 'World Brain Center Hospital', 'B.M. Gupta Hospital Pvt. Ltd.', 'Hari Nagar Bus Depot', 'Satyam', 'Talli Station', 'Khan Chacha', 'Keventers', 'Hira Sweets', 'Coffee Day', 'Nutriobox', 'Aangan Restuarant', 'Sumermal Jain Public School', 'Shaheed Captain Anuj Nayyar Government Boys Senior Secondary School', 'Maharaja Surajmal Institute of Technology', 'Aqua Point', 'C4E Swimming Pool']","2 side open, fully habitable area well cleaned and maintained","['Feng Shui / Vaastu Compliant', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.8 out of 5']",D70662454
Residential land / Plot in Sultanpur,https://www.99acres.com/residential-land-plot-for-sale-in-sultanpur-south-delhi-4800-sq-yard-spid-G71116556,,32 Crore,,"Sultanpur, South Delhi, Delhi",,2,Immediate,"['Sultanpur metro station', 'Ghitorni metro station', 'Chhatarpur metro station', 'Temple', 'Ram mandir', 'Shri Shiv Shakti Mandir', 'Navgrah temple', 'The Pentecostal Mission Church', 'Chhattarpur Mandir Complex', 'Prachin Shri Hanuman Shani Mandir', 'Masjid Dibya Wali', 'Shiv Mandir', 'Jangid Brahaman Temple', 'Sanatan Dharm Radheshyam Mandir', 'Hdfc bank ATM', 'Axis bank ATM', 'Sbi ATM', 'Raja Ram Market', 'DGD', 'Yogmaya Multispeciality Hospital', 'Apex Hospital', 'Manchanda Hospital', 'K.R. Hospital', 'Gendox Hospital', 'Vikas Hospital', 'Aggarwal Sons Medical Mart', 'Aggarwal Medical Store', 'Anand Chemist', 'SK Medicos', 'Neethi Medical Store', 'Shri Banke Bihari Medical Store', 'Indian Oil', 'Oddbird Theatre', 'Icici bank', 'Barista', 'Chai Thela', 'Burger King', 'WHSmith', 'Ajit Khalsa Dhaba', 'The Dhan Mill', 'Quick Brown Fox Coffee Roasters', 'subway lavazza', 'Greenr Cafe', ""Nirula's"", 'Aggarwal Sweets and Snacks', 'Shri Sai Food Corner', 'Heritage International School', 'Deep Public School', 'Government Boys Senior Secondary School']",Development in sultanpur farm near mg road north east facing price negotiable,"['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']","['', 'Environment3.9 out of 5']",G71116556
Residential land / Plot in Sector 29 Rohini,https://www.99acres.com/residential-land-plot-for-sale-in-sector-29-rohini-north-delhi-76-sq-yard-spid-R71112234,,1.03 Crore,,"Sector 29 Rohini, North Delhi, Delhi",4 Floors,1,Immediate,"['Devansh Hospital', 'DGD Khera Kalan', 'Khera kalan railway station']",This is 32 sq mtr pair in 29 sector near entry road or park,[],"['', 'Environment3.8 out of 5']",R71112234
Residential land / Plot in Ashok Vihar Phase 1,https://www.99acres.com/residential-land-plot-for-sale-in-phase-1-ashok-vihar-north-delhi-200-sq-yard-spid-O71705006,,12 Crore,,"Ashok Vihar Phase 1, North Delhi, Delhi",4 Floors,2,Immediate,"['Keshav puram metro station', 'Kanhaiya nagar metro station', 'Shalimar bagh metro station', 'Netaji subhash place pink line metro station', 'Netaji subhash place red line metro station', 'Shiv Market', 'Kali Mata Mandir', 'Hdfc bank ATM', 'DGD Ashok Vihar H Block', 'DGD Keshav Puram B4', 'Gupta Eye & Gynae Clinic', 'D.R. Nursing Home', 'DGD Keshav Puram C7', 'Dr BD Attam Hospital and Medical Research Centre', 'Rustagi ENT Clinic', 'Delhi Eye Care Centre', 'ESI Dispensary Wazirpur Industrial Area', 'JK Gupta clinic', 'Upchar Nursing Home', 'MCD Dispensary Bharat Nagar', 'North Delhi Nursing Home', 'Max Multi Speciality Centre Pitampura', 'Balaji Health centre', 'DGD Wazirpur JJ Colony', 'DGD PH3', 'Kumar Medical & Maternity Centre', 'Durga palace', 'Punjab national bank', 'Idbi bank', 'Icici bank', 'Idfc first bank', 'DT City Center', 'Masters fast food center', 'Sandoz', 'Apni Rasoi', ""Domino's"", 'Bablu Kebab Shop', ""Haldiram's"", 'Cafe Coffee Day', ""McDonald's"", 'Invitation', 'Wah ji Wah Chaanp', 'Pandit Parantha', 'Subway', 'Yellow Chillies', 'Moti Mahal Delux', 'Sarvodaya Kanya Senior Secondary School', 'Kendriya Vidhyalya', 'Kendrya Vidyalya']","This property is in the heart of d block, ashok vihar phase i, close to all major amenities and landmarks, schools, colleges, hospitals, shopping malls, markets, site visit possible with one day's notice, immediate meeting with seller",['Feng Shui / Vaastu Compliant'],"['', 'Environment3.8 out of 5']",O71705006
Residential land / Plot in Dera Mandi,https://www.99acres.com/residential-land-plot-for-sale-in-dera-mandi-south-delhi-1000-sq-yard-r6-spid-T60281374,,3.5 Crore,,"Dera Mandi, South Delhi, Delhi",,,Immediate,"['SHIV MANDIR BALIYAWAS', 'Janki Max Hospital', 'Parivar Clinic', 'Florence Farm', 'Green Dot Theory', 'CHINESE CORNER', 'Government Sarvodaya Vidyalaya']",Prime location main road entrance gated entrance full of amenities corner property residential area with,[],"['', 'Environment3.8 out of 5']",T60281374
